famille;age;sexe;attribute_set
CHEMISE DE NUIT;BEBE;M;Vêtements
CHEMISE DE NUIT;DPAM;F;Vêtements
CHEMISE DE NUIT;DPAM;G;Vêtements
CHEMISE DE NUIT;DPAM;M;Vêtements
CHEMISIER;BEBE;F;Vêtements
CHEMISIER;BEBE;G;Vêtements
CHEMISIER;BEBE;M;Vêtements
CHEMISIER;DPAM;F;Vêtements
CHEMISIER;DPAM;G;Vêtements
CHEMISIER;DPAM;M;Vêtements
CHOU-CHOU;BEBE;F;Default
CHOU-CHOU;BEBE;G;Default
CHOU-CHOU;BEBE;M;Default
CHOU-CHOU;DPAM;F;Default
CHOU-CHOU;DPAM;G;Default
CHOU-CHOU;DPAM;M;Default
COLLANT;BEBE;F;Vêtements
COLLANT;BEBE;G;Vêtements
COLLANT;BEBE;M;Vêtements
COLLANT;DPAM;F;Vêtements
COLLANT;DPAM;G;Vêtements
COLLANT;DPAM;M;Vêtements
COLLIER;BEBE;F;Default
COLLIER;BEBE;G;Default
COLLIER;BEBE;M;Default
COLLIER;DPAM;F;Default
COLLIER;DPAM;G;Default
COLLIER;DPAM;M;Default
COMBINAISON;BEBE;F;Vêtements
COMBINAISON;BEBE;G;Vêtements
COMBINAISON;BEBE;M;Vêtements
COMBINAISON;DPAM;F;Vêtements
COMBINAISON;DPAM;G;Vêtements
COMBINAISON;DPAM;M;Vêtements
COMBINAISON DE;BEBE;F;Vêtements
COMBINAISON DE;BEBE;G;Vêtements
COMBINAISON DE;BEBE;M;Vêtements
COMBINAISON DE;DPAM;F;Vêtements
COMBINAISON DE;DPAM;G;Vêtements
COMBINAISON DE;DPAM;M;Vêtements
COMBINAISON PIL;BEBE;F;Vêtements
COMBINAISON PIL;BEBE;G;Vêtements
COMBINAISON PIL;BEBE;M;Vêtements
COMBINAISON PIL;DPAM;F;Vêtements
COMBINAISON PIL;DPAM;G;Vêtements
COMBINAISON PIL;DPAM;M;Vêtements
CORBEILLE;BEBE;F;Textile
CORBEILLE;BEBE;G;Textile
