code_colombus;code_mapped
T03;23 mois,18 mois
T04;4 ans,3 ans,2 ans
T05;8 ans,6 ans
T06;14 ans,12 ans,10 ans
T1;Autres
T2;Autres
T3;Autres
T32;Autres
T34;Autres
T36;Autres
T38;Autres
T4;Autres
T40;Autres
T42;Autres
T43;Autres
T45;Autres
T46;Autres
T47;Autres
T48;Autres
T49;Autres
T5;Autres
T50;Autres
T51;Autres
T52;Autres
T53;Autres
T54;Autres
T55;Autres
T56;Autres
T65;Autres
TA;Autres
TABA;Marron
TARL;Rouge
TARO;Rouge
TASA;Rouge,Marron
TATU;Marron,Bleu
TAUP;Marron,Beige
TOME;Rouge,Orange
TOUR;Jaune
TRAN;Blanc,Autres
TT1;8 ans,6 ans
TT2;12 ans,10 ans
TT3;14 ans
TU;Autres
TUCL;Bleu
TUEC;Bleu,Beige
TUIL;Rouge
TUMA;Marron
TURQ;Bleu
TUVE;Bleu
VALE;Bleu
VANI;Blanc,Beige
VDGR;Vert
VEBL;Blanc
VECI;Bleu
VECL;Vert
VEDO;Vert
VEEC;Beige
VEFC;Vert
VEFL;Vert
VEMA;Bleu
VEMO;Vert
VERD;Vert
VERM;Rouge
VERO;Rose
VERT;Vert
VIBL;Violet
VIEC;Violet,Beige
VIMO;Violet
VINO;Violet,Noir
VIOF;Violet
VIOL;Violet
VIRO;Violet,Rose
VISO;Autres
VRVI;Violet,Vert
VXRO;Violet
XL;Autres
XS;Autres
XXL;Autres
