famille,age,sexe,attribute_set,,categories_es,categories_it
BAIGNADE_NU PIE,CHAUSSURES,M,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa;;Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine;;Scarpe bambini/Bambino/Ciabattine
BAIGNADE_SANDAL,CHAUSSURES,F,Chaussures,,Calzado Infantil/Niña/Sandalias,Scarpe bambini/Bambina/Sandali
BAIGNADE_SANDAL,CHAUSSURES,G,Chaussures,,Calzado Infantil/Niño/Sandalias,Scarpe bambini/Bambino/Sandali
BAIGNADE_SANDAL,CHAUSSURES,M,Chaussures,,Calzado Infantil/Niña/Sandalias;;Calzado Infantil/Niño/Sandalias,Scarpe bambini/Bambina/Sandali;;Scarpe bambini/Bambino/Sandali
BAIGNADE_SANDAL,CHAUSSURES,F,Chaussures,,Calzado Infantil/Niña/Sandalias,Scarpe bambini/Bambina/Sandali
BAIGNADE_SANDAL,CHAUSSURES,G,Chaussures,,Calzado Infantil/Niño/Sandalias,Scarpe bambini/Bambino/Sandali
BAIGNADE_SANDAL,CHAUSSURES,M,Chaussures,,Calzado Infantil/Niña/Sandalias;;Calzado Infantil/Niño/Sandalias,Scarpe bambini/Bambina/Sandali;;Scarpe bambini/Bambino/Sandali
BAIGNADE_TONG,CHAUSSURES,F,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine
BAIGNADE_TONG,CHAUSSURES,G,Chaussures,,"Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambino/Ciabattine
BAIGNADE_TONG,CHAUSSURES,M,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa;;Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine;;Scarpe bambini/Bambino/Ciabattine
BAIGNADE_TONG,CHAUSSURES,F,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine
BAIGNADE_TONG,CHAUSSURES,G,Chaussures,,"Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambino/Ciabattine
BAIGNADE_TONG,CHAUSSURES,M,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa;;Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine;;Scarpe bambini/Bambino/Ciabattine
BAIGNOIRE,BEBE,F,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BAIGNOIRE,BEBE,G,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BAIGNOIRE,BEBE,M,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BAIGNOIRE,DPAM,F,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BAIGNOIRE,DPAM,G,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BAIGNOIRE,DPAM,M,Hygiène et bain,,El universo del recién nacido/La Puericultura/El baño/Bañeras y hamacas,L'universo del neonato/Articoli per bambini/Il bagnetto/Bagnetti e accessori
BANDEAU,BEBE,F,Vêtements,,"Bebé Niña 3 a 23 meses/Accesorios bebé niña/Cintas, pañuelos, mantitas",Bebè bambina 3 -  23 mesi/Accessori bebè bambina/Bandana e foulard
BANDEAU,BEBE,G,Vêtements,,,
BANDEAU,BEBE,M,Vêtements,,,
BANDEAU,DPAM,F,Vêtements,,Niña 3 – 14 años/Accesorios niña/Accesorios para el pelo,Bambina 3 - 14 anni/Accessori bambina/Accessori per capelli
BANDEAU,DPAM,G,Vêtements,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
BANDEAU,DPAM,M,Vêtements,,Niña 3 – 14 años/Accesorios niña/Accesorios para el pelo,Bambina 3 - 14 anni/Accessori bambina/Accessori per capelli
BARRETTE,BEBE,F,Default,,,
BARRETTE,BEBE,G,Default,,,
BARRETTE,BEBE,M,Default,,,
BARRETTE,DPAM,F,Default,,Niña 3 – 14 años/Accesorios niña/Accesorios para el pelo,Bambina 3 - 14 anni/Accessori bambina/Accessori per capelli
BARRETTE,DPAM,G,Default,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
BARRETTE,DPAM,M,Default,,Niña 3 – 14 años/Accesorios niña/Accesorios para el pelo,Bambina 3 - 14 anni/Accessori bambina/Accessori per capelli
BAVOIR,BEBE,F,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BAVOIR,BEBE,G,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BAVOIR,BEBE,M,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BAVOIR,DPAM,F,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BAVOIR,DPAM,G,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BAVOIR,DPAM,M,Textile,,"El universo del recién nacido/La Puericultura/La Comida/Baberos, gasitas","L'universo del neonato/Articoli per bambini/La pappa/Bavaglini, fasce"
BERMUDA,BEBE,F,Vêtements,,,
BERMUDA,BEBE,G,Vêtements,,Bebé Niño 3 a 23 meses/Pantalones cortos,"Bebè bambino 3 -  23 mesi/Bermudas, pantaloncini"
BERMUDA,BEBE,M,Vêtements,,,
BERMUDA,DPAM,F,Vêtements,,"Niña 3 - 14 años/Faldas, Pantalones cortos","Bambina 3 - 14 anni/Gonne, pantaloncini, pantaloni"
BERMUDA,DPAM,G,Vêtements,,Bebé Niño 3 a 14 años/Pantalones cortos,"Bambino 3 - 14 anni/Bermudas, pantaloncini"
BERMUDA,DPAM,M,Vêtements,,Bebé Niño 3 a 14 años/Pantalones cortos,"Bambino 3 - 14 anni/Bermudas, pantaloncini"
BIBERON,BEBE,F,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BIBERON,BEBE,G,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BIBERON,BEBE,M,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BIBERON,DPAM,F,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BIBERON,DPAM,G,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BIBERON,DPAM,M,Biberonnerie,,El universo del recién nacido/La Puericultura/La Comida/Biberones,L'universo del neonato/Articoli per bambini/La pappa/Biberon
BLOOMER,BEBE,F,Vêtements,,"Bebé Niña 3 a 23 meses/Faldas, Pantalones cortos, Bloomers","Bebè bambina 3 -  23 mesi/Gonne, pantaloncini, culotte"
BLOOMER,BEBE,G,Vêtements,,,
BLOOMER,BEBE,M,Vêtements,,,
BLOOMER,DPAM,F,Vêtements,,,
BLOOMER,DPAM,G,Vêtements,,,
BLOOMER,DPAM,M,Vêtements,,,
BLOUSON,BEBE,F,Vêtements,,"Bebé Niña 3 a 23 meses/Abrigos, Cazadoras/Impermeables, parkas, chaquetas","Bebè bambina 3 -  23 mesi/Cappottini, giacchette/Impermeabili, giubbotti, giacche"
BLOUSON,BEBE,G,Vêtements,,"Bebé Niño 3 a 23 meses/Abrigos, Cazadoras/Impermeables, parkas, chaquetas","Bebè bambino 3 -  23 mesi/Cappottini, giacchette/Impermeabili, giubbotti, giacche"
BLOUSON,BEBE,M,Vêtements,,,
BLOUSON,DPAM,F,Vêtements,,"Niña 3 – 14 años/Abrigos y Cazadoras/Jersey, chaquetas","Bambina 3 - 14 anni/Cappotti e giacche pesanti/Giacche, giubbotti"
BLOUSON,DPAM,G,Vêtements,,"Niño 3 – 14 años/Abrigos y Cazadoras/Jersey, chaquetas","Bambino 3 - 14 anni/Cappotti e giacche pesanti/Giacche, giubbotti"
BLOUSON,DPAM,M,Vêtements,,"Niña 3 – 14 años/Abrigos y Cazadoras/Jersey, chaquetas;;Niño 3 – 14 años/Abrigos y Cazadoras/Jersey, chaquetas","Bambina 3 - 14 anni/Cappotti e giacche pesanti/Giacche, giubbotti;;Bambina 3 - 14 anni/Cappotti e giacche pesanti/Giacche, giubbotti"
BOB,BEBE,F,Vêtements,,Bebé Niña 3 a 23 meses/Accesorios bebé niña/sombreros,Bebè bambina 3 -  23 mesi/Accessori bebè bambina/Cappellini
BOB,BEBE,G,Vêtements,,Bebé Niño 3 a 23 meses/Accesorios bebé niña/sombreros,Bebè bambino 3 -  23 mesi/Accessori bebè bambino/Cappellini con visiera
BOB,BEBE,M,Vêtements,,,
BOB,DPAM,F,Vêtements,,Niña 3 – 14 años/Accesorios niña/Accesorios para el pelo,Bambina 3 - 14 anni/Accessori bambina/Accessori per capelli
BOB,DPAM,G,Vêtements,,Niño 3 – 14 años/Accesorios niño/Sombreros,Bambino 3 - 14 anni/Accessori bambino/Cappellini con visiera
BOB,DPAM,M,Vêtements,,,
BODY,BEBE,F,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies;;Bebé Niña 3 a 23 meses/bodies,L'universo del neonato/Abbigliamento per neonato/Body;;Bebè bambina 3 -  23 mesi/Body
BODY,BEBE,G,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies;;Bebé Niño 3 a 23 meses/bodies,L'universo del neonato/Abbigliamento per neonato/Body;;Bebè bambino 3 -  23 mesi/Body
BODY,BEBE,M,Vêtements,,,
BODY,DPAM,F,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BODY,DPAM,G,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BODY,DPAM,M,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BODY SOUS VET,BEBE,F,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies;;Bebé Niña 3 a 23 meses/bodies,L'universo del neonato/Abbigliamento per neonato/Body;;Bebè bambina 3 -  23 mesi/Body
BODY SOUS VET,BEBE,G,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies;;Bebé Niño 3 a 23 meses/bodies,L'universo del neonato/Abbigliamento per neonato/Body;;Bebè bambino 3 -  23 mesi/Body
BODY SOUS VET,BEBE,M,Vêtements,,,
BODY SOUS VET,DPAM,F,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BODY SOUS VET,DPAM,G,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BODY SOUS VET,DPAM,M,Vêtements,,El universo del recién nacido/Ropa para Recién Nacido/Bodies,L'universo del neonato/Abbigliamento per neonato/Body
BOITE A MUSIQUE,BEBE,F,Jouets,,El universo del recién nacido/La Puericultura/Peluches y Juguetes/Juguetes musicales y primera infancia,L'universo del neonato/Articoli per bambini/Doudou e giochi/Prime attività e giochi musicali
