famille;age;sexe;attribute_set;categories
"CALECON";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Pantalons, Salopettes, Caleçons"
"CALECON";"BEBE";"G";"Vêtements";"A classer"
"CALECON";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Pantalons, Salopettes, Caleçons"
"CALECON";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Caleçons, leggings"
"CALECON";"DPAM";"G";"Vêtements";"A classer"
"CALECON";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Caleçons, leggings"
"CALECON SOUS-VETEMENT";"BEBE";"F";"Vêtements";"A classer"
"CALECON SOUS-VETEMENT";"BEBE";"G";"Vêtements";"A classer"
"CALECON SOUS-VETEMENT";"BEBE";"M";"Vêtements";"A classer"
"CALECON SOUS-VETEMENT";"DPAM";"F";"Vêtements";"A classer"
"CALECON SOUS-VETEMENT";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Sous-vêtements"
"CALECON SOUS-VETEMENT";"DPAM";"M";"Vêtements";"A classer"
"CAPE DE BAIN";"BEBE";"F";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CAPE DE BAIN";"BEBE";"G";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CAPE DE BAIN";"BEBE";"M";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CAPE DE BAIN";"DPAM";"F";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CAPE DE BAIN";"DPAM";"G";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CAPE DE BAIN";"DPAM";"M";"Textile";"La Naissance et tout autour/La Puériculture/Le Bain/Linge de toilette"
"CASQUETTE";"BEBE";"F";"Vêtements";"A classer"
"CASQUETTE";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bobs, casquettes"
"CASQUETTE";"BEBE";"M";"Vêtements";"A classer"
"CASQUETTE";"DPAM";"F";"Vêtements";"A classer"
"CASQUETTE";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Bobs, casquettes"
"CASQUETTE";"DPAM";"M";"Vêtements";"A classer"
"CEINTURE";"BEBE";"F";"Vêtements";"A classer"
"CEINTURE";"BEBE";"G";"Vêtements";"A classer"
"CEINTURE";"BEBE";"M";"Vêtements";"A classer"
"CEINTURE";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Ceintures"
"CEINTURE";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Ceintures"
"CEINTURE";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Ceintures;;Fille 3 - 14 ans/Accessoires fille/Ceintures"
"CHAISE";"BEBE";"F";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHAISE";"BEBE";"G";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHAISE";"BEBE";"M";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHAISE";"DPAM";"F";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHAISE";"DPAM";"G";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHAISE";"DPAM";"M";"Chaises hautes et Réducteurs";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"CHANCELIERE";"BEBE";"F";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
