attribute_id,attribute_code,label,EN,FR,ES,IT
113,msrp,Manufacturer's Suggested Retail Price,Manufacturer's Suggested Retail Price,Prix suggéré fabricant,Precio sugerido por el fabricante,Prezzo indicato dal produttore
112,msrp_display_actual_price_type,Display Actual Price,Display Actual Price,Afficher le prix actuel,Mostrar el precio actual,Mostrare il prezzo attuale
111,msrp_enabled,Apply MAP,Apply MAP,Appliquer MAP,Alpicar MAP,Applicare MAP
65,name,Name,Name,Nom,Nombre,Nome
86,news_from_date,Set Product as New from Date,Set Product as New from Date,Le produit est nouveau du,Artículo nuevo desde el,Articolo nuovo dal
87,news_to_date,Set Product as New to Date,Set Product as New to Date,Le produit est nouveau jusqu'au,Artículo nuevo hasta el,Articolo nuovo fino al
216,ocp_age,Age,Age,Tranche d'âge,Edad,Età
249,ocp_author,Author,Author,Auteur,Autor,Autore
181,ocp_brand,Brand,Brand,Marque,Marca,Marca
275,ocp_breast_measurement,Breast measurement,Breast measurement,Tour de poitrine,Contorno de pecho,Giro petto
259,ocp_capacity,Capacity,Capacity,Contenance,Capacidad,Capacità
186,ocp_carton_height,Carton height,Carton height,Hauteur carton,Altura del embalaje,Altezza imballaggio
184,ocp_carton_length,Carton length,Carton length,Longueur carton,Largo del embalaje,Lunghezza imballaggio
185,ocp_carton_width,Carton width,Carton width,Largeur carton,Ancho del embalaje,Larghezza imballaggio
276,ocp_collar_type,Collar type,Collar type,Type de col,Tipo de cuello,Tipo di scollo
219,ocp_collection,Collection,Collection,Collection,Colección,Collezione
230,ocp_color_code,Color code,Color code,Code couleur,Código del color,Codice colore
252,ocp_compatibility,Compatibility,Compatibility,Compatibilité,Compatibilidad,Compatibilità
175,ocp_cost,Cost,Cost,Coût moyen pondéré,Costo medio ponderado,Costo medio ponderato
265,ocp_cup,Cup,Cup,Bonnet,Copa,Coppa
180,ocp_customs_code,Customs code,Customs code,Code douanier,Código de aduana,Codice dogana
277,ocp_cut_type,Cut type,Cut type,Type de coupe,Corte tipo,Tipo di vestibilità
261,ocp_decor,Decor,Decor,Décor,Tema,Tema
263,ocp_detection,Detection,Detection,Détection,Detección,Detezione
284,ocp_dishwasher,Dishwasher,Dishwasher,Lave-vaisselle,Lava-vajillas,Lavastoviglie
179,ocp_ean,EAN,EAN,EAN,EAN,EAN
208,ocp_eco_tax,Eco tax,Eco tax,Eco taxe,Eco tax,Ecotassa
297,ocp_energetics_performance,Energetics performance,Energetics performance,Performance energetique,Clase energética,Efficienza energetica
273,ocp_environment,Environnement,Environment,Environnement,Ambiente,Ambiente
264,ocp_evolving,Evolving,Evolving,Evolutif,Evolutivo,Evolutivo
293,ocp_external_matter,External matter,External matter,Matière extérieure (Dessus / Tige),Material exterior,Composizione esterna
291,ocp_external_sole_matter,External sole matter,External sole matter,Matière de la semelle extérieure,Material de la suela,Composizione della suola
278,ocp_fastening_type,Fastening type,Fastening type,Type de fermeture ,Tipo de cerradura,Tipo di chiusura
267,ocp_finishing,Finishing,Finishing,Finitions,Terminado,Finiture
234,ocp_fixation_base,Fixation base,Fixation base,Base de fixation,Base de fijación,Base di fissaggio
241,ocp_fixing_system,Fixing system,Fixing system,Systeme de fixation,Sistema de fijación,Sistema di fissaggio
286,ocp_flexible,Flexible,Flexible,Pliable,Plegado,Pieghevole
260,ocp_flow,Flow,Flow,Débit,Fluído,Flusso
258,ocp_footrest,Footrest,Footrest,Repose-pieds,Reposa-piés,Poggiapiedi
269,ocp_format,Format,Format,Format,Formato,Formato
246,ocp_function,Function,Function,Fonction,Función,Funzione
217,ocp_functionnal,Functionnal,Functionnal,Eligibilité fonctionnelle,Functionnal,Functionnal
232,ocp_gender,Gender,Gender,Sexe,Sexo,Sesso
300,ocp_glass_type,Glass type,Glass type,Type de verre,Tipo de vidrio,Tipo di vetro
222,ocp_handlebars,Handlebars,Handlebars,Guidon,Manillar,Manubrio
272,ocp_harness,Harness,Harness,Harnais,Arnés,Imbracatura
274,ocp_hat_size,Hat size,Hat size,Tour de tête,Contorno de cabeza,Giro testa
248,ocp_headrest,Headrest,Headrest,Appuie-tête,Reposa-cabezas,Poggiatesta
282,ocp_heel_height,Heel height,Heel height,Hauteur du talon,Altura del talón,Altezza tacco
229,ocp_height_closed,Height closed,Height closed,Dimension fermé - hauteur,Dimensión cerrado - altura,Dimensione chiuso - altezza
226,ocp_height_open,Height open,Height open,Dimension ouvert - hauteur,Dimensión abierto - altura,Dimensione aperto - altezza
251,ocp_hood,Hood,Hood,Capuche ,Capucha,Cappuccio
255,ocp_impermeability,Impermeability,Impermeability,Imperméabilité,Impermeabilidad,Impermeabilità
242,ocp_included_accessories,Included accessories,Included accessories,Accessoires inclus,Accesoirios incluídos,Accessori inclusi
211,ocp_instruction,Instruction,Instruction,Mode d'emploi,Instrucciones,Istruzioni
292,ocp_internal_sole_matter,Internal sole matter,Internal sole matter,Matière de la semelle intérieure,Material de la suela interior,Composizione della soletta
281,ocp_internal_sole_type,Internal sole type,Internal sole type,Type de la semelle intérieure,Tipo de la suela interior,Tipo di soletta
270,ocp_kind,Kind,Kind,Genre,Tipo,Tipo
215,ocp_label,Label,Label,Libellé,Texto,Denominazione
289,ocp_language,Language,Language,Langue,Idioma,Lingua
257,ocp_lateral_reinforcement,Lateral reinforcement,Lateral reinforcement,Renforts latéraux,Protección lateral,Protezione laterale
227,ocp_length_closed,Length closed,Length closed,Dimension fermé - longueur,Dimension cerrado - largo,Dimensione chiuso - lunghezza
224,ocp_length_open,Length open,Length open,Dimension ouvert - longueur,Dimensión cerrado - ancho,Dimensione aperto - lunghezza
290,ocp_lining_matter,Lining matter,Lining matter,Matière de la doublure,Material forro interno,Composizione dell'imbottitura
283,ocp_machine_wash,Machine wash,Machine wash,Lavage en machine,Lavable en máquina,Lavabile in lavatrice
176,ocp_margin,Margin,Margin,Marge,Margen,Margine
177,ocp_margin_rate,Margin rate,Margin rate,Taux de marge,Margen en %,Margine in %
200,ocp_marketing_axis1,Marketing axis 1,Marketing axis 1,axe 1,Marketing axis 1,Marketing axis 1
201,ocp_marketing_axis2,Marketing axis 2,Marketing axis 2,axe 2,Marketing axis 2,Marketing axis 2
