attribute_id,attribute_code,label,store_code,store_id,EN,FR,ES,IT
165,related_tgtr_position_behavior,Related Target Rule Position Behavior,admin,0,Related Target Rule Position Behavior,Comportement des règles de produits relatifs,Related Target Rule Position Behavior,Related Target Rule Position Behavior
164,related_tgtr_position_limit,Related Target Rule Rule Based Positions,admin,0,Related Target Rule Rule Based Positions,Règle des produits relatifs,Related Target Rule Rule Based Positions,Related Target Rule Rule Based Positions
103,required_options,required_options,admin,0,required_options,Options requises,opciones obligatoiras,Opzioni obbligatorie
123,samples_title,Samples title,admin,0,Samples title,Titre des exemples,Samples title,Samples title
121,shipment_type,Shipment,admin,0,Shipment,Livraison,Entrega,Tipo di spedizione
67,short_description,Short Description,admin,0,Short Description,Description courte,Descripción corta,Descrizione breve
68,sku,SKU,admin,0,SKU,SKU,SKU,SKU
118,sku_type,sku_type,admin,0,sku_type,Type de SKU,Tipo de SKU,Tipo di SKU
80,small_image,Small Image,admin,0,Small Image,Petite image,Imagen pequeña,Immagine piccola
106,small_image_label,Small Image Label,admin,0,Small Image Label,Titre de la petite image,Título de la imagen pequeña,Titolo dell'immagine piccola
71,special_from_date,Special Price From Date,admin,0,Special Price From Date,Prix spécial du,Precio especial a partir del,Prezzo speciale a partire dal
70,special_price,Special Price,admin,0,Special Price,Prix spécial,Precio especial  ,Prezzo speciale
72,special_to_date,Special Price To Date,admin,0,Special Price To Date,Prix spécial jusqu'au,Precio especial hasta el,Prezzo speciale fino al
89,status,Status,admin,0,Status,Status,Estatus,Stato
115,tax_class_id,Tax Class,admin,0,Tax Class,Classe de taxe,Tipo de impuesto,Tipo di tassa
81,thumbnail,Thumbnail,admin,0,Thumbnail,Miniature,Miniatura,Miniatura
107,thumbnail_label,Thumbnail Label,admin,0,Thumbnail Label,Titre de la miniature,Título de la miniatura,Nome della miniatura
84,tier_price,Tier Price,admin,0,Tier Price,Tranches de prix,Franja de precio,Fascia di prezzo
109,updated_at,updated_at,admin,0,updated_at,Date de modification,Fecha de modificación,Data di modifica
167,upsell_tgtr_position_behavior,Upsell Target Rule Position Behavior,admin,0,Upsell Target Rule Position Behavior,Comportement des règles de produits croisés,Comportamiento de la regla de productos sugeridos,Upsell Target Rule Position Behavior
166,upsell_tgtr_position_limit,Upsell Target Rule Rule Based Positions,admin,0,Upsell Target Rule Rule Based Positions,Règle de produit des produits croisés,Upsell Target Rule Rule Based Positions,Upsell Target Rule Rule Based Positions
90,url_key,URL Key,admin,0,URL Key,Clef de URL,Clave URL,Chiave URL
91,url_path,url_path,admin,0,url_path,Lien de l'URL,Enlace de la URL,Link URL
139,use_config_allow_message,Use Config Allow Message,admin,0,Use Config Allow Message,Utiliser config pour les message,Use Config Allow Message,Use Config Allow Message
137,use_config_email_template,Use Config Email Template,admin,0,Use Config Email Template,Utiliser la configuration des templates mail,Use Config Email Template,Use Config Email Template
133,use_config_is_redeemable,Use Config Is Redeemable,admin,0,Use Config Is Redeemable,Utiliser config si remboursable,Use Config Is Redeemable,Use Config Is Redeemable
135,use_config_lifetime,Use Config Lifetime,admin,0,Use Config Lifetime,Utiliser config pour le cycle de vie,Usar Config para ciclo de vida,Usare config per il ciclo di vita
95,visibility,Visibility,admin,0,Visibility,Visibilité,Visibilidad,Visibilità
74,weight,Weight,admin,0,Weight,Poids,Peso,Peso
119,weight_type,weight_type,admin,0,weight_type,Type de poids,Tipo de peso,Tipo di peso
